Profile,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40
Enlisted,3290.5,3809.0,4173.3,4557.4,4854.099999999999,5490.0,5890.3,6420.099999999999,6872.599999999999,7841.2,8534.300000000001,8927.1,9267.9,9422.0,,,,,
Officer,6367.099999999999,7500.8,7866.5,8557.0,9576.1,9996.999999999998,10606.699999999999,11498.799999999997,11820.1,12726.1,14235.0,14715.700000000003,15760.6,17017.000000000004,18414.0,18999.9,18999.9,18999.9,18999.9
PriorEnlistedOfficer,3290.5,3809.0,4173.3,5379.999999999999,7341.200000000001,8860.2,9004.2,9506.1,10509.9,10509.9,11138.199999999999,12394.799999999997,12394.799999999997,13399.299999999997,15408.299999999997,15408.299999999997,16019.6,17242.2,18414.0
